StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,eval-name,eval-site,eval-platform,button-discover,button-distinct,button-comments,shortcut-discover,shortcut-intuitive,shortcut-comments,text-discover,text-comprehend,text-comments,safety-discover,safety-comments
2022-05-04 06:27:49,2022-05-04 06:28:30,IP Address,100,40,True,2022-05-04 06:28:30,R_1254SvgHtEe06gn,anonymous,EN,Yanna,https://www.bsarcs.org.uk/,Desktop,Somewhat agree,Somewhat agree,,,,,Somewhat agree,Strongly agree,,,
2022-05-04 06:43:41,2022-05-04 06:44:36,IP Address,100,55,True,2022-05-04 06:44:36,R_3nAc0llj5lzLxXq,anonymous,EN,Yanna,https://thekitetrust.org.uk/,Desktop,Somewhat agree,Somewhat agree,,,,,Somewhat agree,Strongly agree,,,
2022-05-04 06:45:02,2022-05-04 06:46:29,IP Address,100,87,True,2022-05-04 06:46:29,R_3gN1LeR3xwvI484,anonymous,EN,Yanna,https://www.safehorizon.org/,Desktop,Strongly agree,Strongly agree,"Need to click twice, one to open and then to exit.",,,,Somewhat agree,Strongly agree,,,
2022-05-04 06:46:56,2022-05-04 06:47:22,IP Address,100,25,True,2022-05-04 06:47:22,R_vH91iyxGILwGp5n,anonymous,EN,Yanna,https://dvcs.org.au/,Desktop,Strongly agree,Strongly agree,,,,,Strongly agree,Strongly agree,,,
2022-05-04 06:47:41,2022-05-04 06:48:08,IP Address,100,26,True,2022-05-04 06:48:08,R_yVYc7Zur5YxxunL,anonymous,EN,Yanna,https://yourbestfriend.org.uk/,Desktop,Strongly agree,Strongly agree,,,,,Strongly agree,Strongly agree,,,
2022-05-04 06:50:11,2022-05-04 06:51:54,IP Address,100,103,True,2022-05-04 06:51:54,R_3lPldu511mitxSx,anonymous,EN,Yanna,https://www.axiscounselling.org.uk/,Desktop,Somewhat agree,Somewhat agree,Could be a bit bigger to be more noticeable.,,,,Somewhat agree,Somewhat agree,,,
2022-05-04 06:52:12,2022-05-04 06:53:05,IP Address,100,53,True,2022-05-04 06:53:06,R_yPBIeQNEKO1I3XX,anonymous,EN,Yanna,https://dvrcv.org.au/,Desktop,Strongly agree,Strongly agree,,,,,Somewhat agree,Strongly agree,,,
2022-05-04 06:55:53,2022-05-04 06:56:41,IP Address,100,48,True,2022-05-04 06:56:41,R_1OTw0xBO4UJZUbb,anonymous,EN,Yanna,https://www.womensaid.org.uk/,Desktop,Strongly agree,Strongly agree,,,,,Somewhat agree,Strongly agree,,,
2022-05-04 06:57:01,2022-05-04 06:58:15,IP Address,100,74,True,2022-05-04 06:58:16,R_3LiiGf1DcV4H3io,anonymous,EN,Yanna,http://www.rapecrisisscotland.org.uk/,Desktop,Strongly agree,Strongly agree,,,,,Strongly agree,Strongly agree,,,
2022-05-04 06:58:35,2022-05-04 07:00:36,IP Address,100,121,True,2022-05-04 07:00:36,R_2e5d88KWeG5TA3y,anonymous,EN,Yanna,https://ikwro.org.uk/,Desktop,Somewhat agree,Somewhat agree,Didn't have to first click on cookie consent,,,,Somewhat agree,Strongly agree,,,
2022-05-04 07:00:57,2022-05-04 07:02:09,IP Address,100,72,True,2022-05-04 07:02:10,R_3s0lpTRIPoHwQoa,anonymous,EN,Yanna,https://sosviolenceconjugale.ca/en,Desktop,Somewhat agree,Neither agree nor disagree,Colour/font choice does not make it easy to find,,,,Somewhat disagree,Strongly agree,,,
2022-05-04 07:02:53,2022-05-04 07:03:46,IP Address,100,53,True,2022-05-04 07:03:46,R_2wvNfc5KqILfcu5,anonymous,EN,Yanna,https://www.victimsupport.org.uk/,Desktop,Somewhat agree,Strongly agree,Partially covered by cookie consent,,,,Strongly agree,Strongly agree,,,
2022-05-04 07:06:12,2022-05-04 07:07:16,IP Address,100,64,True,2022-05-04 07:07:16,R_roTc5sA2Dnl3YuR,anonymous,EN,Yanna,https://www.intercomtrust.org.uk/,Desktop,Strongly agree,Strongly agree,Had to consent for cookies first,,,,Strongly agree,Strongly agree,,,
2022-05-04 07:09:23,2022-05-04 07:10:20,IP Address,100,57,True,2022-05-04 07:10:20,R_5jwTrc2N0oamiUV,anonymous,EN,Yanna,https://www.theharbourcentre.co.uk/,Desktop,Somewhat agree,Neither agree nor disagree,Colour choice does not help make the button stand out at all times,,,,Somewhat agree,Strongly agree,,,
2022-05-04 07:10:37,2022-05-04 07:11:05,IP Address,100,28,True,2022-05-04 07:11:05,R_YaY2048quLo4f5f,anonymous,EN,Yanna,https://www.magdalenegroup.org/,Desktop,Strongly agree,Strongly agree,,,,,Strongly agree,Strongly agree,,,
2022-05-04 07:12:40,2022-05-04 07:14:38,IP Address,100,117,True,2022-05-04 07:14:38,R_1jwZUWaNbnjDMMw,anonymous,EN,Yanna,https://www.breakthesilence.org.uk/,Desktop,Neither agree nor disagree,Neither agree nor disagree,Website didn't load properly. Refreshed but no luck.,,,,Neither agree nor disagree,Neither agree nor disagree,,,
2022-05-04 07:16:05,2022-05-04 07:17:31,IP Address,100,85,True,2022-05-04 07:17:31,R_2PCn8cPS8szChO9,anonymous,EN,Yanna,http://www.berkshirewomensaid.org.uk/,Desktop,Strongly agree,Strongly agree,"Not sure if it's a good idea to place the exit button, next to the donate button :/",,,,Strongly agree,Strongly agree,,,
2022-05-04 07:17:55,2022-05-04 07:18:58,IP Address,100,62,True,2022-05-04 07:18:59,R_pL5yWP3kPcKCc9P,anonymous,EN,Yanna,https://cara-friend.org.uk/,Desktop,Strongly disagree,Strongly disagree,"Button hidden, not clear it is an exit button.",,,,Strongly disagree,Strongly disagree,,,
2022-05-04 07:19:24,2022-05-04 07:20:59,IP Address,100,94,True,2022-05-04 07:20:59,R_sh7vu9IQmLkgHXH,anonymous,EN,Yanna,https://www.akt.org.uk/,Desktop,Neither agree nor disagree,Somewhat disagree,Button hidden by cookie consent. Still works without consenting,,,,Somewhat disagree,Strongly agree,,,
2022-05-04 07:21:21,2022-05-04 07:22:25,IP Address,100,64,True,2022-05-04 07:22:25,R_SZXwlX7lsvaPdM5,anonymous,EN,Yanna,http://www.ashianasheffield.org/,Desktop,Somewhat agree,Somewhat agree,Different colour choice to avoid blending in with the background colours,,,,Somewhat agree,Strongly agree,,,
2022-05-04 07:22:44,2022-05-04 07:23:40,IP Address,100,56,True,2022-05-04 07:23:41,R_1C9jtYdQJlpIV8I,anonymous,EN,Yanna,http://www.newpathways.org.uk/,Desktop,Somewhat agree,Somewhat agree,Could have been bigger,,,,Somewhat agree,Strongly agree,,,
2022-05-04 07:24:09,2022-05-04 07:24:55,IP Address,100,45,True,2022-05-04 07:24:55,R_3PjZek3rSBauIIS,anonymous,EN,Yanna,https://www.asianwomencentre.org.uk/,Desktop,Somewhat disagree,Somewhat disagree,Button hidden. Need to hover over to open then click.,,,,Somewhat disagree,Strongly agree,,,
2022-05-04 07:25:17,2022-05-04 07:25:47,IP Address,100,29,True,2022-05-04 07:25:47,R_2zdtO2CpHUaGjg4,anonymous,EN,Yanna,https://www.icash.nhs.uk/,Desktop,Somewhat agree,Somewhat agree,,,,,Somewhat agree,Somewhat agree,,,
2022-05-04 07:26:06,2022-05-04 07:27:23,IP Address,100,77,True,2022-05-04 07:27:23,R_3gRSY9FuCvgMW1X,anonymous,EN,Yanna,https://mermaidsuk.org.uk/#,Desktop,Strongly disagree,Strongly disagree,"Need to hover over and click, not clearly signposted",,,,Strongly disagree,Somewhat agree,,,
2022-05-04 07:27:51,2022-05-04 07:28:25,IP Address,100,34,True,2022-05-04 07:28:25,R_3qk8qyN5LiiheXG,anonymous,EN,Yanna,https://www.bright-sky.org.uk/,Desktop,Strongly agree,Strongly agree,,,,,Strongly agree,Somewhat agree,,,
2022-05-04 07:31:49,2022-05-04 07:32:16,IP Address,100,26,True,2022-05-04 07:32:16,R_3lE9nNmrRAxI4If,anonymous,EN,Yanna,https://www.spaceyouthproject.co.uk/,Desktop,Strongly agree,Strongly agree,,,,,Strongly agree,Strongly agree,,,
2022-05-04 07:33:02,2022-05-04 07:33:42,IP Address,100,39,True,2022-05-04 07:33:42,R_217myrFFEZLJQnU,anonymous,EN,Yanna,https://www.mankind.org.uk/,Desktop,Somewhat agree,Somewhat agree,,,,,Somewhat agree,Strongly agree,,,
2022-05-04 07:34:17,2022-05-04 07:35:17,IP Address,100,60,True,2022-05-04 07:35:17,R_2QlZk6ATsjdtX1y,anonymous,EN,Yanna,https://www.womensaid.ie/,Desktop,Neither agree nor disagree,Neither agree nor disagree,Could have been more distinct,,,,Neither agree nor disagree,Strongly agree,,Neither agree nor disagree,
2022-05-04 07:35:44,2022-05-04 07:38:03,IP Address,100,139,True,2022-05-04 07:38:04,R_2ckdJmGPdOwOaTj,anonymous,EN,Yanna,https://thedashcharity.org.uk/,Desktop,Strongly agree,Strongly agree,Works without consenting for cookies first,,,,Somewhat agree,Strongly agree,Is vertical writing the best choice?,,
2022-05-04 07:38:23,2022-05-04 07:39:25,IP Address,100,61,True,2022-05-04 07:39:25,R_PtHWpdtu9A86iFX,anonymous,EN,Yanna,https://www.thewishcentre.org/,Desktop,Somewhat agree,Somewhat agree,Can blend in with the background colours,,,,Somewhat agree,Strongly agree,,,
2022-05-04 07:39:42,2022-05-04 07:39:58,IP Address,100,15,True,2022-05-04 07:40:00,R_2fJq2LV7JRfygTc,anonymous,EN,Yanna,https://www.uava.org.uk/,Desktop,Strongly agree,Strongly agree,,,,,Strongly agree,Strongly agree,,,
2022-05-04 07:40:13,2022-05-04 07:41:07,IP Address,100,53,True,2022-05-04 07:41:08,R_1JPJvUU5CLGBC43,anonymous,EN,Yanna,https://survivorswestyorkshire.org.uk/,Desktop,Somewhat agree,Somewhat agree,,,,,Somewhat agree,Strongly agree,,,
2022-05-04 07:43:12,2022-05-04 07:43:38,IP Address,100,26,True,2022-05-04 07:43:39,R_12LnXQrwHHwWSqc,anonymous,EN,Yanna,https://junowomensaid.org.uk/,Desktop,Strongly agree,Strongly agree,,,,,Strongly agree,Strongly agree,,,
2022-05-04 07:45:51,2022-05-04 07:46:19,IP Address,100,27,True,2022-05-04 07:46:19,R_2aaYhj3ZdTGgEjq,anonymous,EN,Yanna,https://www.firstlight.org.uk/,Desktop,Somewhat disagree,Somewhat disagree,Button covered by cookie consent,,,,Somewhat disagree,Strongly agree,,,
2022-05-04 07:55:18,2022-05-04 07:56:05,IP Address,100,47,True,2022-05-04 07:56:06,R_aXYY53SjQyAViLv,anonymous,EN,Yanna,https://www.survivorsmanchester.org.uk/,Desktop,Somewhat agree,Somewhat agree,,,,,Somewhat agree,Strongly agree,,,
2022-05-04 07:56:18,2022-05-04 07:56:30,IP Address,100,11,True,2022-05-04 07:56:30,R_vSRKrb1cgzKuNxL,anonymous,EN,Yanna,https://www.safetynetuk.org/,Desktop,Strongly agree,Strongly agree,,,,,Strongly agree,Strongly agree,,,
2022-05-04 07:58:08,2022-05-04 07:58:21,IP Address,100,13,True,2022-05-04 07:58:21,R_sNcNn23mLeMoMLv,anonymous,EN,Yanna,https://malesurvivor.co.uk/about-us,Desktop,Strongly agree,Strongly agree,,,,,Strongly agree,Strongly agree,,,
2022-05-04 07:58:36,2022-05-04 07:58:52,IP Address,100,16,True,2022-05-04 07:58:52,R_2Qoi8w40xnfGwMr,anonymous,EN,Yanna,https://leicesterlgbtcentre.org/,Desktop,Strongly agree,Strongly agree,,,,,Strongly agree,Strongly agree,,,
2022-05-04 08:00:31,2022-05-04 08:00:54,IP Address,100,22,True,2022-05-04 08:00:54,R_1o6BORPsJ6QNEtQ,anonymous,EN,Yanna,https://www.msichoices.org.uk/,Desktop,Strongly agree,Strongly agree,,,,,Strongly agree,Strongly agree,,,
2022-05-04 08:01:17,2022-05-04 08:01:48,IP Address,100,31,True,2022-05-04 08:01:48,R_1gzmn10IpJfsciN,anonymous,EN,Yanna,https://www.equality-network.org/,Desktop,Somewhat agree,Somewhat agree,Could have been a bit bigger,,,,Somewhat agree,Strongly agree,,,
2022-05-04 08:02:36,2022-05-04 08:03:39,IP Address,100,62,True,2022-05-04 08:03:39,R_12mNN9CTfRO1JXX,anonymous,EN,Yanna,https://supportafterrapeleeds.org.uk/,Desktop,Somewhat agree,Somewhat agree,Colour can stand out but depends on background,,,,Somewhat agree,Somewhat agree,,,
2022-05-04 08:04:32,2022-05-04 08:05:35,IP Address,100,62,True,2022-05-04 08:05:35,R_3pnWfpZuqr0Cgwi,anonymous,EN,Yanna,https://rapecrisis.org.uk/,Desktop,Somewhat agree,Somewhat agree,Chatbox may cover exit button,,,,Somewhat agree,Strongly agree,,,
2022-05-04 08:09:23,2022-05-04 08:09:57,IP Address,100,33,True,2022-05-04 08:09:57,R_1f1O6P9nhgGI2dm,anonymous,EN,Yanna,https://www.saferplaces.co.uk/,Desktop,Strongly agree,Strongly agree,,,,,Strongly agree,Strongly agree,,Strongly agree,
2022-05-04 08:10:39,2022-05-04 08:12:04,IP Address,100,84,True,2022-05-04 08:12:04,R_32KmNXPe9ZJ6fsF,anonymous,EN,Yanna,https://lawadv.org.uk/,Desktop,Somewhat agree,Somewhat agree,Could have been a bit bigger.,,,,Somewhat agree,Strongly agree,,Somewhat agree,Could have been placed next to exit button rather than on top of the page
2022-05-04 08:12:28,2022-05-04 08:13:02,IP Address,100,34,True,2022-05-04 08:13:02,R_3O9pasRtqQcGHVj,anonymous,EN,Yanna,https://www.sands.org.uk/,Desktop,Somewhat agree,Somewhat agree,Partially covered by cookie consent,,,,Somewhat agree,Strongly agree,,,
2022-05-04 08:13:44,2022-05-04 08:15:12,IP Address,100,87,True,2022-05-04 08:15:12,R_0qxyj0XrJldhUpH,anonymous,EN,Yanna,https://www.refuge.org.uk/,Desktop,Somewhat disagree,Neither agree nor disagree,Thought it was an unrelated banner due to colour; blends in with the rest,,,,Somewhat disagree,Strongly agree,,,
2022-05-04 08:22:00,2022-05-04 08:22:30,IP Address,100,29,True,2022-05-04 08:22:31,R_C35hnb8Gu13z1kJ,anonymous,EN,Yanna,https://www.unitysexualhealth.co.uk/,Desktop,Strongly agree,Strongly agree,,,,,Strongly agree,Strongly agree,,Strongly agree,
2022-05-04 08:22:49,2022-05-04 08:23:02,IP Address,100,13,True,2022-05-04 08:23:02,R_rop1RMns6jZIpHz,anonymous,EN,Yanna,https://coramvoice.org.uk/,Desktop,Strongly agree,Strongly agree,,,,,Strongly agree,Strongly agree,,,
2022-05-04 08:23:17,2022-05-04 08:23:45,IP Address,100,28,True,2022-05-04 08:23:45,R_bPBZ0ek6puRmiWd,anonymous,EN,Yanna,https://www.meiccymru.org/,Desktop,Somewhat disagree,Somewhat disagree,Blends in,,,,Somewhat disagree,Strongly agree,,,
2022-05-04 08:24:00,2022-05-04 08:24:16,IP Address,100,16,True,2022-05-04 08:24:17,R_1lcpepKT1xBJtbh,anonymous,EN,Yanna,https://www.nationaldahelpline.org.uk/,Desktop,Strongly agree,Strongly agree,,,,,Strongly agree,Strongly agree,,,
2022-05-04 08:24:29,2022-05-04 08:24:45,IP Address,100,16,True,2022-05-04 08:24:46,R_6gsGGn2VLoepfNf,anonymous,EN,Yanna,https://cisters.org.uk/,Desktop,Somewhat agree,Somewhat agree,,,,,Somewhat agree,Strongly agree,,,
2022-05-04 08:25:36,2022-05-04 08:25:55,IP Address,100,18,True,2022-05-04 08:25:55,R_6gxorJJRahpNcyJ,anonymous,EN,Yanna,https://www.derbyshire.police.uk/,Desktop,Strongly agree,Strongly agree,,,,,Strongly agree,Strongly agree,,,
2022-05-04 08:27:30,2022-05-04 08:28:03,IP Address,100,33,True,2022-05-04 08:28:03,R_1jrlZsskqZeCPrj,anonymous,EN,Yanna,http://trusthousereading.org/,Desktop,Somewhat agree,Somewhat agree,Maybe slightly bigger,,,,Somewhat agree,Strongly agree,,,
2022-05-04 08:30:41,2022-05-04 08:30:58,IP Address,100,16,True,2022-05-04 08:30:58,R_3KxfcsHG5ZHaPtU,anonymous,EN,Yanna,https://www.wgn.org.uk/,Desktop,Somewhat agree,Somewhat agree,Maybe a bit bigger,,,,Somewhat agree,Strongly agree,,,
2022-05-04 08:36:14,2022-05-04 08:37:07,IP Address,100,53,True,2022-05-04 08:37:07,R_3LXVdTva3kC7zOH,anonymous,EN,Yanna,https://www.lbwp.co.uk/,Desktop,Neither agree nor disagree,Strongly disagree,Same format as all other buttons,,,,Strongly disagree,Strongly agree,,,
2022-05-04 08:37:19,2022-05-04 08:37:31,IP Address,100,12,True,2022-05-04 08:37:31,R_400UHD8cx3WzUxX,anonymous,EN,Yanna,https://www.lighthousevictimcare.org/,Desktop,Strongly agree,Strongly agree,,,,,Strongly agree,Strongly agree,,,
2022-05-04 08:40:25,2022-05-04 08:40:57,IP Address,100,32,True,2022-05-04 08:40:57,R_9KLwR1ZuZeLTNRL,anonymous,EN,Yanna,https://www.rasamerseyside.org/,Desktop,Somewhat agree,Strongly disagree,,,,,Somewhat agree,Strongly agree,,,
2022-05-04 08:41:15,2022-05-04 08:42:11,IP Address,100,56,True,2022-05-04 08:42:12,R_20UVhpQHVnEwaDg,anonymous,EN,Yanna,https://abusedmeninscotland.org/,Desktop,Somewhat agree,Somewhat agree,Made slightly hard to see by cookie consent,,,,Somewhat agree,Strongly agree,,,
2022-05-04 08:42:31,2022-05-04 08:42:57,IP Address,100,26,True,2022-05-04 08:42:57,R_3j8tLK4uVczE7qY,anonymous,EN,Yanna,https://www.welshwomensaid.org.uk/,Desktop,Strongly agree,Strongly agree,,,,,Somewhat agree,Strongly agree,,,
2022-05-04 08:43:21,2022-05-04 08:43:38,IP Address,100,17,True,2022-05-04 08:43:39,R_3hruq9BlwmXht0x,anonymous,EN,Yanna,https://www.mwnhelpline.co.uk/,Desktop,Strongly agree,Strongly agree,,,,,Strongly agree,Strongly agree,,,
2022-05-04 08:43:55,2022-05-04 08:44:58,IP Address,100,63,True,2022-05-04 08:44:58,R_bkgC6gflqx0dlMl,anonymous,EN,Yanna,https://www.lincolnshirerapecrisis.org.uk/,Desktop,Neither agree nor disagree,Strongly disagree,Should be bigger and visible even while scrolling,,,,Strongly disagree,Strongly agree,,,
2022-05-04 08:46:19,2022-05-04 08:46:48,IP Address,100,28,True,2022-05-04 08:46:48,R_32JjgiPAOE2TTVK,anonymous,EN,Yanna,https://cambridgerapecrisis.org.uk/,Desktop,Somewhat agree,Somewhat agree,,,,,Somewhat agree,Strongly agree,,,
2022-05-04 08:48:12,2022-05-04 08:48:52,IP Address,100,39,True,2022-05-04 08:48:52,R_3sb6c6PG2otO5Xt,anonymous,EN,Yanna,https://www.sfad.org.uk/,Desktop,Somewhat agree,Somewhat agree,May be covered by chatbox,,,,Somewhat agree,Strongly agree,,,
2022-05-04 08:49:05,2022-05-04 08:49:37,IP Address,100,32,True,2022-05-04 08:49:38,R_BWHNbsvsLgEQKFX,anonymous,EN,Yanna,https://www.jwa.org.uk/,Desktop,Strongly agree,Strongly agree,,,,,Strongly agree,Strongly agree,,,
2022-05-13 15:07:47,2022-05-13 15:09:12,IP Address,100,84,True,2022-05-13 15:09:12,R_1rAfw6aaLr5EwGv,anonymous,EN,Alice,https://www.childline.org.uk/,Desktop,Somewhat disagree,Somewhat disagree,Had to accept cookies before being able to click on it.,,,,,,,Somewhat disagree,
2022-05-13 15:09:43,2022-05-13 15:10:02,IP Address,100,18,True,2022-05-13 15:10:02,R_3HYu7uR1L45b8ao,anonymous,EN,Alice,https://www.thehavens.org.uk/,Desktop,Somewhat agree,Neither agree nor disagree,,,,,,,,,
2022-05-13 15:10:25,2022-05-13 15:11:41,IP Address,100,75,True,2022-05-13 15:11:41,R_4TsZT6NgQZPXtyp,anonymous,EN,Alice,https://www.safehorizon.org/,Desktop,Strongly disagree,Strongly disagree,"Basically had to click twice. 'Quickly exit this site' expands the menu bar, where I then have an option to click the button. ",,,,,,,,
2022-05-13 15:12:47,2022-05-13 15:13:58,IP Address,100,70,True,2022-05-13 15:13:58,R_1P1RFKkLer8HwYO,anonymous,EN,Alice,https://www.firstlight.org.uk/,Desktop,Strongly disagree,Somewhat agree,"the exit button is completely hidden by the cookie banner. ",,,,,,,,
2022-05-13 15:14:26,2022-05-13 15:16:53,IP Address,100,147,True,2022-05-13 15:16:53,R_3dGj1KisAKL4uRf,anonymous,EN,Alice,https://www.solacewomensaid.org/,Desktop,Strongly agree,Strongly agree,,,,,,,,Somewhat disagree,
2022-05-18 15:04:32,2022-05-18 15:04:53,IP Address,100,21,True,2022-05-18 15:04:53,R_2y417NkRfZLVAsY,anonymous,EN,Alice,https://dvcs.org.au/,Desktop,Strongly agree,Strongly agree,,,,,,,,,
2022-05-18 15:05:26,2022-05-18 15:08:53,IP Address,100,206,True,2022-05-18 15:08:53,R_24IfPXXdlJkmSc5,anonymous,EN,Alice,https://www.domesticabusehelpline.co.uk/,Desktop,Somewhat agree,Somewhat disagree,"Doesn't remain at the top of the page when scrolling. There is a button at the bottom of the page, as well as the top. ",,,,,,,Strongly agree,"Only provides information on how to use a private browser window, not how to clear browsing history."
2022-05-18 15:09:44,2022-05-18 15:10:35,IP Address,100,50,True,2022-05-18 15:10:35,R_2YxiJ0DK7SvAKPU,anonymous,EN,Alice,https://www.theelmfoundation.org.uk/,Desktop,Somewhat agree,Somewhat agree,Two options provided - leave to google and leave to facebook.,,,,,,,,
2022-05-18 15:10:54,2022-05-18 15:11:57,IP Address,100,62,True,2022-05-18 15:11:57,R_2y1V6U3pw3bjY0s,anonymous,EN,Alice,https://www.sarsas.org.uk/,Desktop,Somewhat disagree,Somewhat agree,"Text is vertical, which perhaps made it more difficult to read/find?",,,,,,,,
2022-05-18 15:12:15,2022-05-18 15:12:38,IP Address,100,22,True,2022-05-18 15:12:38,R_1GE9YRM0OnGjRCN,anonymous,EN,Alice,https://www.protectionagainststalking.org/,Desktop,Strongly agree,Strongly agree,,,,,,,,,
2022-05-18 15:13:06,2022-05-18 15:13:57,IP Address,100,51,True,2022-05-18 15:13:58,R_2V48qZCgAl72Ycf,anonymous,EN,Alice,https://www.forthvalleyrapecrisis.org.uk/,Desktop,Somewhat agree,Somewhat agree,,Strongly agree,Strongly agree,,,,,,
2022-05-18 15:14:22,2022-05-18 15:14:54,IP Address,100,31,True,2022-05-18 15:14:54,R_1Hdv6oW5ip6MPVz,anonymous,EN,Alice,https://www.rasasc.org/,Desktop,Somewhat agree,Strongly agree,,,,,,,,,
2022-05-18 15:15:40,2022-05-18 15:16:13,IP Address,100,32,True,2022-05-18 15:16:13,R_2zZUtmcsQLTKJVl,anonymous,EN,Alice,https://junowomensaid.org.uk/,Desktop,Strongly agree,Strongly agree,,,,,,,,,
2022-05-19 14:26:34,2022-05-19 14:27:37,IP Address,100,63,True,2022-05-19 14:27:37,R_22JMk4xGAzJDgBV,anonymous,EN,Alice,https://www.jwa.org.uk/,Desktop,Somewhat agree,Somewhat disagree,"Purple button on a purple background, although it is a different shade.",,,,,,,,
2022-05-19 14:27:55,2022-05-19 14:29:00,IP Address,100,64,True,2022-05-19 14:29:00,R_789o5wBJGFnCE7f,anonymous,EN,Alice,https://malesurvivor.co.uk/about-us/,Desktop,Strongly agree,Strongly agree,,,,,,,,,
2022-05-19 14:29:51,2022-05-19 14:30:32,IP Address,100,40,True,2022-05-19 14:30:32,R_3MERi7MQkSGyQJF,anonymous,EN,Alice,https://mwrc.org.uk/,Desktop,Strongly disagree,Strongly disagree,Had to scroll to the bottom of the page to find it.,,,,,,,,
2022-05-19 14:33:21,2022-05-19 14:34:03,IP Address,100,41,True,2022-05-19 14:34:03,R_301xBlPVNqcOqBB,anonymous,EN,Alice,https://www.starsdorset.org/,Desktop,Somewhat disagree,Strongly disagree,Green button on a green background.,,,,,,,,
